solv_i_id,molefrac_i,ln_gamma_i
solvent_222 / solvent_705,1 / 0,0 / 1.65
solvent_222 / solvent_337,1 / 0,0 / 1.84
solvent_222 / ref_34,1 / 0,0 / 1.88
solvent_222 / solvent_527,1 / 0,0 / 2.12
solvent_222 / ref_103,1 / 0,0 / 2.04
solvent_222 / solvent_677,1 / 0,0 / 2.35
solvent_222 / ref_70,1 / 0,0 / 2.14
solvent_222 / ref_144,1 / 0,0 / 2.24
solvent_222 / ref_48,1 / 0,0 / 2.21
solvent_222 / solvent_666,1 / 0,0 / 2.54
solvent_222 / ref_32,1 / 0,0 / 2.16
solvent_222 / solvent_782,1 / 0,0 / 0.64
solvent_222 / solvent_90,1 / 0,0 / 1.15
solvent_222 / solvent_580,1 / 0,0 / 0.61
solvent_222 / solvent_446,1 / 0,0 / 0.85
solvent_222 / solvent_54,1 / 0,0 / 0.28
solvent_222 / solvent_595,1 / 0,0 / 0.06
solvent_222 / solvent_319,1 / 0,0 / -0.71
solvent_222 / solvent_306,1 / 0,0 / 0.86
solvent_222 / solvent_466,1 / 0,0 / 0.82
solvent_222 / solvent_795,1 / 0,0 / 1.42
solvent_222 / solvent_304,1 / 0,0 / 1.48
solvent_225 / solvent_705,1 / 0,0 / 2.96
solvent_225 / solvent_343,1 / 0,0 / 2.75
solvent_225 / solvent_558,1 / 0,0 / 2.76
solvent_225 / solvent_535,1 / 0,0 / 3.27
solvent_225 / solvent_337,1 / 0,0 / 3.08
solvent_225 / ref_34,1 / 0,0 / 3.22
solvent_225 / ref_157,1 / 0,0 / 3.17
solvent_225 / ref_1,1 / 0,0 / 3.27
solvent_225 / ref_25,1 / 0,0 / 3.12
solvent_225 / solvent_527,1 / 0,0 / 3.63
solvent_225 / ref_126,1 / 0,0 / 3.7
solvent_225 / ref_94,1 / 0,0 / 3.56
solvent_225 / ref_103,1 / 0,0 / 3.57
solvent_225 / ref_133,1 / 0,0 / 3.61
solvent_225 / solvent_840,1 / 0,0 / 3.47
solvent_225 / solvent_677,1 / 0,0 / 4
solvent_225 / solvent_95,1 / 0,0 / 3.68
solvent_225 / ref_48,1 / 0,0 / 3.71
solvent_225 / solvent_666,1 / 0,0 / 4.4
solvent_225 / solvent_262,1 / 0,0 / 1.07
solvent_225 / solvent_782,1 / 0,0 / 1.47
solvent_225 / ref_125,1 / 0,0 / 1.89
solvent_225 / ref_54,1 / 0,0 / 1.89
solvent_225 / solvent_687,1 / 0,0 / 1.81
solvent_225 / solvent_454,1 / 0,0 / 1.8
solvent_225 / solvent_90,1 / 0,0 / 2.03
solvent_225 / ref_4,1 / 0,0 / 2.62
solvent_225 / solvent_81,1 / 0,0 / 2.6
solvent_225 / ref_104,1 / 0,0 / 2.49
solvent_225 / solvent_80,1 / 0,0 / 3.04
solvent_225 / solvent_88,1 / 0,0 / 3.37
solvent_225 / ref_38,1 / 0,0 / 3.13
solvent_225 / ref_31,1 / 0,0 / 3.55
solvent_225 / ref_44,1 / 0,0 / 3.14
solvent_225 / ref_70,1 / 0,0 / 3.65
solvent_225 / ref_144,1 / 0,0 / 3.85
solvent_225 / ref_32,1 / 0,0 / 3.71
solvent_225 / solvent_446,1 / 0,0 / 1.38
solvent_225 / solvent_92,1 / 0,0 / 1.87
solvent_225 / solvent_167,1 / 0,0 / 1.61
solvent_225 / solvent_62,1 / 0,0 / 2.1
solvent_225 / ref_115,1 / 0,0 / 0.95
solvent_225 / solvent_572,1 / 0,0 / 1.26
solvent_225 / ref_135,1 / 0,0 / 1.57
solvent_225 / solvent_54,1 / 0,0 / 0.31
solvent_225 / solvent_222,1 / 0,0 / 0.04
solvent_225 / solvent_595,1 / 0,0 / 0.2
solvent_225 / solvent_627,1 / 0,0 / -0.04
solvent_225 / solvent_319,1 / 0,0 / 0.25
solvent_226 / solvent_535,1 / 0,0 / 1.83
solvent_226 / solvent_262,1 / 0,0 / 0.19
solvent_226 / solvent_705,1 / 0,0 / 1.68
solvent_226 / solvent_337,1 / 0,0 / 1.48
solvent_226 / ref_34,1 / 0,0 / 1.84
solvent_226 / solvent_527,1 / 0,0 / 1.94
solvent_226 / ref_103,1 / 0,0 / 2.03
solvent_226 / solvent_840,1 / 0,0 / 1.51
solvent_226 / solvent_677,1 / 0,0 / 2.08
solvent_226 / ref_70,1 / 0,0 / 2.01
solvent_226 / ref_144,1 / 0,0 / 2.24
solvent_226 / ref_48,1 / 0,0 / 1.77
solvent_226 / solvent_666,1 / 0,0 / 2.26
solvent_226 / ref_32,1 / 0,0 / 2.07
solvent_226 / solvent_782,1 / 0,0 / 0.23
solvent_226 / solvent_90,1 / 0,0 / 1.3
solvent_226 / solvent_161,1 / 0,0 / 1.12
solvent_226 / solvent_194,1 / 0,0 / 1.02
solvent_226 / solvent_560,1 / 0,0 / 0.68
solvent_114 / solvent_535,1 / 0,0 / 1.43
solvent_114 / solvent_337,1 / 0,0 / 1.37
solvent_114 / solvent_262,1 / 0,0 / 0.22
solvent_114 / solvent_782,1 / 0,0 / 0.31
solvent_642 / solvent_705,1 / 0,0 / 1.77
solvent_642 / solvent_90,1 / 0,0 / 1.24
solvent_258 / solvent_535,1 / 0,0 / 3.21
solvent_258 / solvent_262,1 / 0,0 / 0.78
solvent_258 / solvent_705,1 / 0,0 / 2.68
solvent_258 / solvent_337,1 / 0,0 / 2.46
solvent_258 / ref_34,1 / 0,0 / 3.02
solvent_258 / solvent_527,1 / 0,0 / 3.29
solvent_258 / ref_103,1 / 0,0 / 3.32
solvent_258 / solvent_840,1 / 0,0 / 2.82
solvent_258 / solvent_677,1 / 0,0 / 3.6
solvent_258 / solvent_95,1 / 0,0 / 3.61
solvent_258 / ref_70,1 / 0,0 / 3.4
solvent_258 / ref_48,1 / 0,0 / 2.98
solvent_258 / solvent_666,1 / 0,0 / 3.9
solvent_258 / ref_32,1 / 0,0 / 3.55
solvent_258 / solvent_782,1 / 0,0 / 1.04
solvent_258 / solvent_90,1 / 0,0 / 2.3
solvent_258 / solvent_161,1 / 0,0 / 2.2
solvent_258 / solvent_194,1 / 0,0 / 2.12
solvent_258 / solvent_560,1 / 0,0 / 1.61
solvent_258 / solvent_580,1 / 0,0 / 0.86
solvent_258 / solvent_446,1 / 0,0 / 0.88
solvent_258 / solvent_449,1 / 0,0 / 0.36
solvent_258 / solvent_54,1 / 0,0 / -0.97
solvent_258 / solvent_222,1 / 0,0 / -0.22
solvent_258 / solvent_595,1 / 0,0 / -0.49
solvent_258 / solvent_726,1 / 0,0 / 1.07
solvent_258 / ref_74,1 / 0,0 / 1.55
solvent_258 / solvent_627,1 / 0,0 / 0.34
solvent_258 / solvent_319,1 / 0,0 / 0.4
solvent_258 / solvent_306,1 / 0,0 / 1.54
solvent_258 / solvent_455,1 / 0,0 / 0.75
solvent_258 / solvent_466,1 / 0,0 / 1.02
solvent_258 / solvent_304,1 / 0,0 / 1.24
solvent_259 / solvent_705,1 / 0,0 / 1.17
solvent_259 / solvent_535,1 / 0,0 / 1.33
solvent_259 / solvent_337,1 / 0,0 / 1.01
solvent_259 / ref_34,1 / 0,0 / 1.32
solvent_259 / solvent_527,1 / 0,0 / 1.39
solvent_259 / ref_103,1 / 0,0 / 1.45
solvent_259 / solvent_677,1 / 0,0 / 1.49
solvent_259 / ref_70,1 / 0,0 / 1.42
solvent_259 / ref_144,1 / 0,0 / 1.56
solvent_259 / ref_48,1 / 0,0 / 1.21
solvent_259 / solvent_666,1 / 0,0 / 1.59
solvent_259 / ref_32,1 / 0,0 / 1.46
solvent_259 / solvent_262,1 / 0,0 / 0.05
solvent_259 / solvent_90,1 / 0,0 / 0.87
solvent_259 / solvent_194,1 / 0,0 / 0.8
solvent_259 / solvent_560,1 / 0,0 / 0.43
solvent_259 / solvent_580,1 / 0,0 / 2.36
solvent_259 / solvent_446,1 / 0,0 / 2.26
solvent_259 / solvent_449,1 / 0,0 / 0.08
solvent_259 / solvent_726,1 / 0,0 / 0.13
solvent_259 / solvent_627,1 / 0,0 / -0.26
solvent_259 / solvent_319,1 / 0,0 / -0.39
solvent_259 / solvent_306,1 / 0,0 / 0.25
solvent_259 / solvent_455,1 / 0,0 / 0.08
solvent_259 / solvent_466,1 / 0,0 / 0.11
solvent_259 / solvent_304,1 / 0,0 / 0.48
solvent_262 / solvent_705,1 / 0,0 / 0.71
solvent_262 / solvent_343,1 / 0,0 / 0.44
solvent_262 / solvent_535,1 / 0,0 / 0.78
solvent_262 / solvent_337,1 / 0,0 / 0.57
solvent_262 / ref_34,1 / 0,0 / 0.8
solvent_262 / ref_38,1 / 0,0 / 0.5
solvent_262 / solvent_527,1 / 0,0 / 0.76
solvent_262 / ref_103,1 / 0,0 / 0.87
solvent_262 / solvent_840,1 / 0,0 / 0.59
solvent_262 / solvent_677,1 / 0,0 / 0.78
solvent_262 / ref_114,1 / 0,0 / 0.62
solvent_262 / ref_70,1 / 0,0 / 0.82
solvent_262 / ref_144,1 / 0,0 / 0.78
solvent_262 / ref_48,1 / 0,0 / 0.67
solvent_262 / solvent_666,1 / 0,0 / 0.85
solvent_262 / ref_146,1 / 0,0 / 0.6
solvent_262 / solvent_782,1 / 0,0 / -0.08
solvent_262 / ref_54,1 / 0,0 / 0.06
solvent_262 / solvent_90,1 / 0,0 / 0.53
solvent_262 / solvent_194,1 / 0,0 / 0.51
solvent_262 / solvent_560,1 / 0,0 / 0.22
solvent_262 / solvent_580,1 / 0,0 / 2.97
solvent_262 / solvent_446,1 / 0,0 / 2.78
solvent_262 / solvent_449,1 / 0,0 / 0.23
solvent_262 / solvent_647,1 / 0,0 / 0.04
solvent_262 / solvent_54,1 / 0,0 / -0.03
solvent_262 / solvent_222,1 / 0,0 / 0.52
solvent_262 / solvent_595,1 / 0,0 / 0.2
solvent_262 / solvent_726,1 / 0,0 / 0.06
solvent_262 / ref_74,1 / 0,0 / 0.23
solvent_262 / solvent_627,1 / 0,0 / -0.08
solvent_262 / solvent_319,1 / 0,0 / -0.21
solvent_262 / solvent_306,1 / 0,0 / 0.12
solvent_262 / solvent_455,1 / 0,0 / 0.01
solvent_262 / solvent_723,1 / 0,0 / 0.64
solvent_262 / solvent_300,1 / 0,0 / 0.29
solvent_262 / solvent_664,1 / 0,0 / 1.25
solvent_262 / solvent_466,1 / 0,0 / 0.11
solvent_262 / solvent_795,1 / 0,0 / 0.26
solvent_262 / solvent_304,1 / 0,0 / 0.39
solvent_262 / solvent_424,1 / 0,0 / 4.65
solvent_264 / solvent_705,1 / 0,0 / 1.62
solvent_264 / solvent_535,1 / 0,0 / 1.8
solvent_264 / solvent_337,1 / 0,0 / 1.54
solvent_264 / ref_34,1 / 0,0 / 1.84
solvent_264 / solvent_527,1 / 0,0 / 1.94
solvent_264 / ref_103,1 / 0,0 / 2.03
solvent_264 / solvent_677,1 / 0,0 / 2.08
solvent_264 / ref_70,1 / 0,0 / 2.04
solvent_264 / ref_144,1 / 0,0 / 2.22
solvent_264 / ref_48,1 / 0,0 / 1.85
solvent_264 / solvent_666,1 / 0,0 / 2.26
solvent_264 / ref_32,1 / 0,0 / 2.12
solvent_264 / solvent_262,1 / 0,0 / 0.22
solvent_264 / solvent_782,1 / 0,0 / 0.27
solvent_264 / solvent_90,1 / 0,0 / 1.26
solvent_264 / solvent_161,1 / 0,0 / 1.08
solvent_264 / solvent_194,1 / 0,0 / 1.11
solvent_264 / solvent_560,1 / 0,0 / 0.73
solvent_264 / solvent_580,1 / 0,0 / 1.53
solvent_264 / solvent_446,1 / 0,0 / 1.52
solvent_264 / solvent_54,1 / 0,0 / -0.2
solvent_264 / solvent_595,1 / 0,0 / -0.13
solvent_264 / solvent_627,1 / 0,0 / -0.36
solvent_264 / solvent_455,1 / 0,0 / 0.28
solvent_264 / solvent_466,1 / 0,0 / 0.45
solvent_264 / solvent_304,1 / 0,0 / 0.83
ref_76 / solvent_535,1 / 0,0 / 1.66
ref_76 / solvent_337,1 / 0,0 / 1.24
ref_76 / solvent_262,1 / 0,0 / 0.04
ref_76 / ref_100,1 / 0,0 / 0.78
ref_76 / solvent_560,1 / 0,0 / 0.52
ref_76 / solvent_449,1 / 0,0 / 0
ref_76 / solvent_222,1 / 0,0 / 0.11
ref_76 / solvent_726,1 / 0,0 / 0.2
ref_76 / ref_74,1 / 0,0 / 0.52
ref_76 / solvent_481,1 / 0,0 / -0.34
ref_76 / solvent_319,1 / 0,0 / -0.67
ref_76 / solvent_306,1 / 0,0 / 0.34
ref_76 / solvent_455,1 / 0,0 / 0.02
ref_76 / solvent_225,1 / 0,0 / 0.41
ref_76 / solvent_601,1 / 0,0 / 0.12
ref_76 / solvent_466,1 / 0,0 / 0.28
solvent_266 / solvent_705,1 / 0,0 / 2.36
solvent_266 / solvent_343,1 / 0,0 / 1.77
solvent_266 / solvent_535,1 / 0,0 / 2.59
solvent_266 / solvent_337,1 / 0,0 / 2.06
solvent_266 / ref_34,1 / 0,0 / 2.58
solvent_266 / ref_38,1 / 0,0 / 2.09
solvent_266 / solvent_527,1 / 0,0 / 2.81
solvent_266 / ref_103,1 / 0,0 / 2.85
solvent_266 / solvent_677,1 / 0,0 / 3
solvent_266 / ref_70,1 / 0,0 / 2.86
solvent_266 / ref_144,1 / 0,0 / 3.07
solvent_266 / ref_48,1 / 0,0 / 2.56
solvent_266 / solvent_666,1 / 0,0 / 3.3
solvent_266 / ref_32,1 / 0,0 / 3.06
solvent_266 / solvent_262,1 / 0,0 / 0.91
solvent_266 / solvent_782,1 / 0,0 / 1
solvent_266 / solvent_161,1 / 0,0 / 1.83
solvent_266 / solvent_560,1 / 0,0 / 1.46
solvent_266 / solvent_446,1 / 0,0 / 0.02
solvent_266 / solvent_54,1 / 0,0 / -0.76
solvent_266 / solvent_595,1 / 0,0 / -0.25
solvent_268 / solvent_705,1 / 0,0 / 1.39
solvent_268 / solvent_535,1 / 0,0 / 1.46
solvent_268 / solvent_90,1 / 0,0 / 5.55
solvent_268 / solvent_194,1 / 0,0 / 0.81
solvent_268 / solvent_560,1 / 0,0 / 0.64
solvent_268 / solvent_580,1 / 0,0 / 2.59
solvent_268 / solvent_446,1 / 0,0 / 2.45
solvent_268 / solvent_726,1 / 0,0 / 0.2
solvent_268 / ref_74,1 / 0,0 / 0.39
solvent_268 / solvent_627,1 / 0,0 / -0.16
solvent_268 / solvent_319,1 / 0,0 / -0.19
solvent_268 / solvent_455,1 / 0,0 / 0.03
solvent_268 / solvent_304,1 / 0,0 / 0.46
solvent_711 / solvent_705,1 / 0,0 / 2.39
solvent_711 / solvent_558,1 / 0,0 / 2.45
solvent_711 / solvent_535,1 / 0,0 / 2.55
solvent_711 / solvent_337,1 / 0,0 / 2.07
solvent_711 / solvent_262,1 / 0,0 / 0.47
solvent_711 / solvent_161,1 / 0,0 / 1.66
solvent_711 / solvent_560,1 / 0,0 / 1.12
ref_78 / solvent_705,1 / 0,0 / 1.65
ref_78 / solvent_558,1 / 0,0 / 1.65
ref_78 / solvent_535,1 / 0,0 / 1.79
ref_78 / solvent_337,1 / 0,0 / 1.37
ref_78 / solvent_262,1 / 0,0 / 0.03
ref_78 / solvent_161,1 / 0,0 / 1.06
ref_78 / solvent_560,1 / 0,0 / 0.6
ref_89 / solvent_535,1 / 0,0 / 2.09
ref_89 / solvent_337,1 / 0,0 / 1.62
ref_89 / solvent_262,1 / 0,0 / 0.36
ref_89 / solvent_161,1 / 0,0 / 1.39
ref_89 / solvent_560,1 / 0,0 / 0.93
ref_142 / solvent_535,1 / 0,0 / 0.18
ref_142 / solvent_337,1 / 0,0 / 0.01
ref_142 / solvent_527,1 / 0,0 / 0.12
ref_142 / solvent_262,1 / 0,0 / 0.26
ref_142 / solvent_81,1 / 0,0 / 0.14
ref_142 / ref_104,1 / 0,0 / -0.04
ref_142 / ref_63,1 / 0,0 / 0.07
ref_142 / ref_30,1 / 0,0 / -0.01
ref_142 / solvent_80,1 / 0,0 / 0.16
ref_142 / ref_37,1 / 0,0 / 0.44
ref_142 / ref_122,1 / 0,0 / 0.46
solvent_670 / solvent_535,1 / 0,0 / 1.45
solvent_670 / solvent_337,1 / 0,0 / 1.11
solvent_670 / solvent_262,1 / 0,0 / 0.13
solvent_670 / ref_100,1 / 0,0 / 0.9
solvent_670 / solvent_560,1 / 0,0 / 0.58
solvent_670 / solvent_449,1 / 0,0 / 0.17
solvent_670 / solvent_222,1 / 0,0 / 0.33
solvent_670 / solvent_726,1 / 0,0 / 0.34
solvent_670 / ref_74,1 / 0,0 / 0.61
solvent_670 / solvent_481,1 / 0,0 / 0.12
solvent_670 / solvent_319,1 / 0,0 / -0.84
solvent_670 / solvent_306,1 / 0,0 / 0.41
solvent_670 / solvent_455,1 / 0,0 / 0.18
solvent_670 / solvent_225,1 / 0,0 / 1.01
solvent_670 / solvent_601,1 / 0,0 / 0.21
solvent_670 / solvent_466,1 / 0,0 / 0.25
solvent_276 / solvent_705,1 / 0,0 / 0.87
solvent_276 / solvent_535,1 / 0,0 / 0.89
solvent_276 / solvent_337,1 / 0,0 / 0.62
solvent_276 / ref_34,1 / 0,0 / 0.98
solvent_276 / solvent_527,1 / 0,0 / 0.92
solvent_276 / ref_103,1 / 0,0 / 1.07
solvent_276 / solvent_677,1 / 0,0 / 0.98
solvent_276 / ref_70,1 / 0,0 / 0.99
solvent_276 / ref_48,1 / 0,0 / 0.76
solvent_276 / solvent_666,1 / 0,0 / 1.08
solvent_276 / ref_32,1 / 0,0 / 1.02
ref_117 / solvent_535,1 / 0,0 / 1.59
ref_117 / solvent_337,1 / 0,0 / 1.03
ref_117 / solvent_262,1 / 0,0 / 0.33
ref_117 / ref_100,1 / 0,0 / 0.94
ref_117 / solvent_560,1 / 0,0 / 0.72
ref_117 / solvent_449,1 / 0,0 / 0.6
ref_117 / solvent_222,1 / 0,0 / 0.76
ref_117 / solvent_726,1 / 0,0 / 0.4
ref_117 / ref_74,1 / 0,0 / 0.76
ref_117 / solvent_481,1 / 0,0 / 0.36
ref_117 / solvent_319,1 / 0,0 / 0.12
ref_117 / solvent_306,1 / 0,0 / 0.45
ref_117 / solvent_455,1 / 0,0 / 0.21
ref_117 / solvent_225,1 / 0,0 / 1.48
ref_117 / solvent_601,1 / 0,0 / 0.22
ref_117 / solvent_466,1 / 0,0 / 0.2
solvent_647 / solvent_705,1 / 0,0 / 0.65
solvent_647 / solvent_535,1 / 0,0 / 0.75
solvent_647 / solvent_337,1 / 0,0 / 0.67
solvent_647 / ref_34,1 / 0,0 / 0.76
solvent_647 / solvent_527,1 / 0,0 / 0.89
solvent_647 / ref_103,1 / 0,0 / 0.84
solvent_647 / solvent_677,1 / 0,0 / 1.02
solvent_647 / ref_70,1 / 0,0 / 0.86
solvent_647 / ref_144,1 / 0,0 / 0.92
solvent_647 / ref_48,1 / 0,0 / 0.88
solvent_647 / solvent_666,1 / 0,0 / 1.13
solvent_647 / solvent_262,1 / 0,0 / 0.76
solvent_647 / solvent_782,1 / 0,0 / -0.8
solvent_647 / ref_125,1 / 0,0 / -0.48
solvent_647 / ref_54,1 / 0,0 / -0.54
solvent_647 / solvent_687,1 / 0,0 / -0.36
solvent_647 / solvent_80,1 / 0,0 / 0.58
solvent_647 / solvent_306,1 / 0,0 / -0.06
ref_65 / solvent_705,1 / 0,0 / 0.19
ref_65 / solvent_535,1 / 0,0 / 0.28
ref_65 / solvent_337,1 / 0,0 / -0.11
ref_65 / solvent_527,1 / 0,0 / 0.35
ref_65 / solvent_840,1 / 0,0 / -0.02
ref_65 / solvent_677,1 / 0,0 / 0.43
ref_65 / ref_48,1 / 0,0 / 0.08
ref_65 / solvent_262,1 / 0,0 / -0.45
ref_65 / solvent_782,1 / 0,0 / -0.36
ref_65 / solvent_454,1 / 0,0 / -0.3
ref_65 / solvent_90,1 / 0,0 / -0.05
ref_65 / solvent_81,1 / 0,0 / 0.03
ref_65 / solvent_80,1 / 0,0 / 0.1
ref_65 / solvent_88,1 / 0,0 / 0.18
solvent_267 / solvent_705,1 / 0,0 / 1.35
solvent_267 / solvent_535,1 / 0,0 / 1.51
solvent_267 / solvent_337,1 / 0,0 / 1.01
solvent_267 / solvent_527,1 / 0,0 / 1.62
solvent_267 / solvent_840,1 / 0,0 / 1.12
solvent_267 / solvent_677,1 / 0,0 / 1.81
solvent_267 / ref_48,1 / 0,0 / 1.32
solvent_267 / solvent_262,1 / 0,0 / -0.17
solvent_267 / solvent_782,1 / 0,0 / -0.01
solvent_267 / solvent_454,1 / 0,0 / 0.05
solvent_267 / solvent_90,1 / 0,0 / 0.83
solvent_267 / solvent_81,1 / 0,0 / 1.01
solvent_267 / solvent_80,1 / 0,0 / 1.11
solvent_267 / solvent_88,1 / 0,0 / 1.34
solvent_300 / solvent_705,1 / 0,0 / 1.62
solvent_300 / solvent_535,1 / 0,0 / 1.82
solvent_300 / solvent_337,1 / 0,0 / 1.75
solvent_300 / ref_34,1 / 0,0 / 4.86
solvent_300 / solvent_527,1 / 0,0 / 1.99
solvent_300 / ref_103,1 / 0,0 / 1.94
solvent_300 / solvent_677,1 / 0,0 / 2.17
solvent_300 / ref_70,1 / 0,0 / 2
solvent_300 / ref_144,1 / 0,0 / 2.14
solvent_300 / ref_48,1 / 0,0 / 2.03
solvent_300 / solvent_666,1 / 0,0 / 2.41
solvent_300 / ref_32,1 / 0,0 / 2.06
solvent_300 / solvent_782,1 / 0,0 / 0.41
solvent_300 / solvent_90,1 / 0,0 / 1.19
solvent_300 / solvent_446,1 / 0,0 / 1.25
solvent_300 / solvent_54,1 / 0,0 / 0.13
solvent_300 / solvent_595,1 / 0,0 / -0.06
solvent_304 / solvent_446,1 / 0,0 / 4.36
solvent_304 / solvent_54,1 / 0,0 / 1.29
solvent_304 / solvent_222,1 / 0,0 / 2.12
solvent_304 / solvent_595,1 / 0,0 / 1.48
solvent_317 / solvent_705,1 / 0,0 / 0.73
solvent_317 / solvent_535,1 / 0,0 / 0.76
solvent_317 / solvent_337,1 / 0,0 / 0.57
solvent_317 / ref_34,1 / 0,0 / 2.35
solvent_317 / solvent_527,1 / 0,0 / 0.76
solvent_317 / ref_103,1 / 0,0 / 0.88
solvent_317 / solvent_677,1 / 0,0 / 0.8
solvent_317 / ref_70,1 / 0,0 / 0.82
solvent_317 / ref_144,1 / 0,0 / 0.91
solvent_317 / ref_48,1 / 0,0 / 0.66
solvent_317 / solvent_666,1 / 0,0 / 0.8
solvent_317 / ref_32,1 / 0,0 / 0.82
solvent_317 / solvent_262,1 / 0,0 / 0.07
solvent_319 / solvent_705,1 / 0,0 / 0.7
solvent_319 / solvent_535,1 / 0,0 / 0.65
solvent_319 / solvent_337,1 / 0,0 / 0.48
solvent_319 / ref_34,1 / 0,0 / 0.75
solvent_319 / solvent_527,1 / 0,0 / 0.72
solvent_319 / ref_103,1 / 0,0 / 0.72
solvent_319 / solvent_677,1 / 0,0 / 0.7
solvent_319 / ref_70,1 / 0,0 / 0.69
solvent_319 / ref_144,1 / 0,0 / 0.73
solvent_319 / ref_48,1 / 0,0 / 0.59
solvent_319 / solvent_666,1 / 0,0 / 0.73
solvent_319 / solvent_262,1 / 0,0 / -0.24
solvent_319 / solvent_782,1 / 0,0 / -0.39
solvent_319 / solvent_580,1 / 0,0 / 2.26
solvent_319 / solvent_446,1 / 0,0 / 1.66
solvent_319 / solvent_54,1 / 0,0 / -1.51
solvent_319 / solvent_627,1 / 0,0 / 0.23
solvent_319 / solvent_225,1 / 0,0 / 0.29
solvent_319 / solvent_795,1 / 0,0 / -1.08
ref_139 / solvent_705,1 / 0,0 / 1.35
ref_139 / solvent_558,1 / 0,0 / 1.5
ref_139 / solvent_535,1 / 0,0 / 1.34
ref_139 / solvent_337,1 / 0,0 / 0.67
ref_139 / solvent_262,1 / 0,0 / 0.39
ref_139 / solvent_161,1 / 0,0 / 0.93
ref_139 / solvent_560,1 / 0,0 / 0.75
solvent_334 / solvent_527,1 / 0,0 / 1.97
ref_123 / solvent_527,1 / 0,0 / 0.22
ref_28 / solvent_527,1 / 0,0 / 0.2
ref_28 / solvent_343,1 / 0,0 / -0.01
ref_28 / solvent_337,1 / 0,0 / 0.01
ref_28 / ref_1,1 / 0,0 / 0.22
ref_108 / solvent_705,1 / 0,0 / 1.59
ref_108 / solvent_343,1 / 0,0 / 1.08
ref_108 / solvent_535,1 / 0,0 / 1.65
ref_108 / solvent_337,1 / 0,0 / 1.15
ref_108 / ref_38,1 / 0,0 / 1.21
ref_108 / solvent_262,1 / 0,0 / 0.95
solvent_337 / solvent_527,1 / 0,0 / 0.11
solvent_337 / solvent_705,1 / 0,0 / 0.2
solvent_337 / solvent_343,1 / 0,0 / -0.01
solvent_337 / solvent_535,1 / 0,0 / 0.18
solvent_337 / ref_34,1 / 0,0 / 0.18
solvent_337 / ref_1,1 / 0,0 / 0.16
solvent_337 / ref_103,1 / 0,0 / 0.17
solvent_337 / solvent_840,1 / 0,0 / 0.02
solvent_337 / solvent_677,1 / 0,0 / 0.09
solvent_337 / ref_70,1 / 0,0 / 0.14
solvent_337 / ref_144,1 / 0,0 / 0.18
solvent_337 / ref_48,1 / 0,0 / 0.06
solvent_337 / solvent_666,1 / 0,0 / 0.03
solvent_337 / solvent_350,1 / 0,0 / -0.08
solvent_337 / solvent_439,1 / 0,0 / -0.12
solvent_337 / ref_146,1 / 0,0 / -0.19
solvent_337 / solvent_262,1 / 0,0 / 0.48
solvent_337 / solvent_782,1 / 0,0 / 0.49
solvent_337 / ref_125,1 / 0,0 / 0.46
solvent_337 / solvent_580,1 / 0,0 / 4.26
solvent_337 / solvent_446,1 / 0,0 / 4.15
solvent_337 / solvent_167,1 / 0,0 / 3.49
solvent_337 / solvent_62,1 / 0,0 / 3.74
solvent_337 / solvent_89,1 / 0,0 / 3.52
solvent_337 / solvent_160,1 / 0,0 / 2.27
solvent_337 / solvent_54,1 / 0,0 / 1.43
solvent_337 / ref_128,1 / 0,0 / 0.26
solvent_337 / solvent_595,1 / 0,0 / 1.66
solvent_337 / solvent_297,1 / 0,0 / 1.46
solvent_337 / ref_124,1 / 0,0 / 1.25
solvent_337 / solvent_73,1 / 0,0 / 0.49
solvent_337 / solvent_169,1 / 0,0 / 0.77
solvent_337 / solvent_380,1 / 0,0 / 0.57
solvent_337 / ref_152,1 / 0,0 / 0.52
solvent_337 / solvent_107,1 / 0,0 / 0.84
solvent_337 / solvent_381,1 / 0,0 / 0.81
solvent_337 / ref_92,1 / 0,0 / 0.57
solvent_338 / solvent_705,1 / 0,0 / 1.7
solvent_338 / solvent_343,1 / 0,0 / 1.21
solvent_338 / solvent_535,1 / 0,0 / 1.83
solvent_338 / solvent_337,1 / 0,0 / 1.27
solvent_338 / ref_38,1 / 0,0 / 1.34
solvent_338 / solvent_262,1 / 0,0 / 1.03
solvent_339 / solvent_705,1 / 0,0 / 1.26
solvent_339 / solvent_558,1 / 0,0 / 1.21
solvent_339 / solvent_535,1 / 0,0 / 1.5
solvent_339 / solvent_337,1 / 0,0 / 1.03
solvent_339 / ref_34,1 / 0,0 / 1.4
solvent_339 / solvent_527,1 / 0,0 / 1.53
solvent_339 / ref_103,1 / 0,0 / 1.5
solvent_339 / solvent_677,1 / 0,0 / 1.64
solvent_339 / ref_70,1 / 0,0 / 1.51
solvent_339 / ref_144,1 / 0,0 / 1.63
solvent_339 / ref_48,1 / 0,0 / 1.36
solvent_339 / solvent_666,1 / 0,0 / 1.8
solvent_339 / ref_32,1 / 0,0 / 1.53
solvent_339 / solvent_262,1 / 0,0 / -0.12
solvent_339 / solvent_782,1 / 0,0 / 0.01
solvent_339 / solvent_90,1 / 0,0 / 0.94
solvent_339 / solvent_161,1 / 0,0 / 0.74
solvent_339 / solvent_194,1 / 0,0 / 0.87
solvent_339 / solvent_560,1 / 0,0 / 0.34
solvent_339 / solvent_446,1 / 0,0 / 0.72
