solv_i_id,molefrac_i,ln_gamma_i
ref_72 / solvent_161,1 / 0,0 / 1.55
ref_72 / solvent_560,1 / 0,0 / 0.82
solvent_62 / solvent_580,1 / 0,0 / 0.15
solvent_62 / solvent_446,1 / 0,0 / -0.02
solvent_62 / solvent_54,1 / 0,0 / 0.88
solvent_62 / solvent_376,1 / 0,0 / 0.7
solvent_62 / solvent_222,1 / 0,0 / 0.86
solvent_62 / solvent_595,1 / 0,0 / 0.8
solvent_62 / solvent_726,1 / 0,0 / 1.04
solvent_62 / solvent_627,1 / 0,0 / 0.65
solvent_62 / solvent_319,1 / 0,0 / 0.22
solvent_62 / solvent_306,1 / 0,0 / 0.97
solvent_62 / solvent_455,1 / 0,0 / 0.96
solvent_62 / solvent_723,1 / 0,0 / 1.62
solvent_62 / solvent_707,1 / 0,0 / 5.7
solvent_62 / solvent_466,1 / 0,0 / 1.21
solvent_62 / solvent_795,1 / 0,0 / -0.17
solvent_62 / solvent_304,1 / 0,0 / 1.12
solvent_73 / solvent_705,1 / 0,0 / 0.42
solvent_73 / solvent_535,1 / 0,0 / 0.54
solvent_73 / solvent_337,1 / 0,0 / 0.48
solvent_73 / solvent_262,1 / 0,0 / 0.02
solvent_73 / solvent_782,1 / 0,0 / 0.05
solvent_73 / solvent_222,1 / 0,0 / 0.53
ref_5 / solvent_317,1 / 0,0 / -0.22
ref_116 / solvent_222,1 / 0,0 / 0.59
solvent_75 / solvent_705,1 / 0,0 / -0.07
solvent_75 / solvent_535,1 / 0,0 / -0.15
solvent_75 / solvent_337,1 / 0,0 / -0.05
solvent_75 / ref_34,1 / 0,0 / 0
solvent_75 / solvent_527,1 / 0,0 / 0
solvent_75 / ref_103,1 / 0,0 / 0.05
solvent_75 / solvent_677,1 / 0,0 / 0.03
solvent_75 / ref_70,1 / 0,0 / 0.03
solvent_75 / ref_144,1 / 0,0 / 0.06
solvent_75 / ref_48,1 / 0,0 / 0
solvent_75 / solvent_666,1 / 0,0 / 0.09
solvent_80 / solvent_449,1 / 0,0 / 0.88
solvent_80 / solvent_647,1 / 0,0 / 0.68
solvent_80 / solvent_225,1 / 0,0 / 2.99
solvent_80 / solvent_723,1 / 0,0 / 2.45
solvent_80 / solvent_664,1 / 0,0 / 3.12
ref_45 / solvent_726,1 / 0,0 / 0.1
ref_45 / solvent_73,1 / 0,0 / 0.1
solvent_81 / solvent_705,1 / 0,0 / 0.03
solvent_81 / solvent_535,1 / 0,0 / 0.1
solvent_81 / solvent_337,1 / 0,0 / 0.19
solvent_81 / ref_34,1 / 0,0 / 0.07
solvent_81 / solvent_527,1 / 0,0 / 0.13
solvent_81 / ref_103,1 / 0,0 / 0.2
solvent_81 / solvent_677,1 / 0,0 / 0.17
solvent_81 / ref_70,1 / 0,0 / 0.16
solvent_81 / ref_144,1 / 0,0 / 0.14
solvent_81 / ref_48,1 / 0,0 / 0.25
